occurences,sentiment,ticker,company,date,positive,negative,neutral,pos_pct_chg
35, 16   9   10 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-28 09:49:16,16,9,10,-0.4482758620689655
20, 9   4   7 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-28 11:21:44,9,4,7,-0.4375
15, 6   4   5 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-28 13:18:42,6,4,5,-0.3333333333333333
18, 5   6   7 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-28 14:45:46,5,6,7,-0.1666666666666666
17, 5   7   5 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-28 18:46:07,5,7,5,0.0
18, 6   7   5 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-28 18:57:36,6,7,5,0.1999999999999999
22, 10   6   6 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-29 07:18:01,10,6,6,0.6666666666666667
26, 11   8   7 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-29 13:35:26,11,8,7,0.1
26, 11   8   7 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-29 13:35:35,11,8,7,0.0
26, 11   8   7 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-29 13:50:36,11,8,7,0.0
26, 11   8   7 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-29 14:05:37,11,8,7,0.0
24, 11   7   6 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-29 14:20:38,11,7,6,0.0
23, 10   7   6 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-29 14:35:39,10,7,6,-0.0909090909090909
19, 8   2   9 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-02-01 13:57:26,8,2,9,-0.1999999999999999
19, 8   2   9 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-02-01 13:59:04,8,2,9,0.0
19, 8   2   9 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-02-01 13:59:25,8,2,9,0.0
18, 8   2   8 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-02-01 14:14:26,8,2,8,0.0
18, 8   2   8 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-02-01 14:29:27,8,2,8,0.0
18, 8   2   8 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-02-01 14:44:28,8,2,8,0.0
18, 8   2   8 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-02-01 14:59:29,8,2,8,0.0
17, 8   2   7 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-02-01 15:14:30,8,2,7,0.0
16, 8   2   6 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-02-01 15:29:30,8,2,6,0.0
